Date,Item,T1-1,T1-2,T1-3,T2-1,T2-2,T2-3,T3-1,T3-2,T3-3,T4-1,T4-2,T4-3,Type,Delta,Time,ValVN30,VolMax5m
5/19/2023,Trend,921,291,219,219,921,291,129,291,921,921,129,129,,-0.5,2:25:00 PM,3.157,21837
5/22/2023,Trend,192,192,192,921,921,921,291,291,192,129,129,192,,2.8,2:00:00 PM,3.588,12892
5/23/2023,Trend,192,192,912,291,291,291,291,291,291,921,291,291,,-5.8,2:15:00 PM,4.256,11037
5/24/2023,Trend,129,291,291,219,129,921,129,129,192,921,921,291,,-3.4,2:00:00 PM,3.774,10828
5/25/2023,Trend,291,219,192,912,921,291,219,129,192,912,192,912,,0.9,1:55:00 PM,3.509,11447
5/29/2023,Trend,129,192,192,912,912,912,291,129,129,129,192,192,GT5,11.5,1:55:00 PM,3.246,9590
5/30/2023,Trend,192,912,291,291,291,291,129,129,921,921,129,129,LT0,0.2,2:25:00 PM,3.967,10689
5/31/2023,Trend,192,912,921,291,291,291,192,291,921,921,921,921,LT5,-5.6,2:15:00 PM,4.518,9813
6/1/2023,Trend,291,291,291,921,921,921,291,291,129,129,129,192,GT0,2.4,2:25:00 PM,3.695,9331
6/2/2023,Trend,129,192,192,192,912,912,921,921,291,129,129,129,GT10,13.8,2:15:00 PM,6.403,12174
6/5/2023,Trend,192,192,192,912,291,291,129,129,291,291,291,921,LT0,8.4,9:00:00 AM,5.341,8108
6/6/2023,Trend,291,129,129,192,192,192,192,192,192,192,192,192,GT5,8.9,2:15:00 PM,5.064,9936
6/7/2023,Trend,192,291,291,291,291,291,921,921,129,129,129,192,GT0,1.9,2:20:00 PM,6.273,10616
6/8/2023,Trend,192,192,291,291,291,291,291,219,219,921,921,291,LT5,-9,2:10:00 PM,6.852,11102
6/9/2023,Trend,291,129,129,192,192,912,129,219,291,291,291,129,GT5,6.3,2:25:00 PM,4.782,12024
6/12/2023,Trend,129,192,921,291,291,291,219,129,192,129,129,129,GT10,13,2:25:00 PM,4.641,17744
6/13/2023,Trend,192,912,129,129,129,921,291,291,291,291,129,129,GT5,7.2,2:20:00 PM,5.615,13807
6/14/2023,Trend,192,192,192,921,921,921,291,192,192,192,921,921,GT0,-3.4,2:20:00 PM,5.908,11438
6/15/2023,Trend,921,291,219,192,912,921,129,129,921,921,921,291,LT0,-2.8,2:15:00 PM,4.465,12415
6/16/2023,Trend,291,291,192,192,192,192,192,921,921,291,291,291,LT5,3.9,2:25:00 PM,8.231,15734
6/19/2023,Trend,291,291,291,921,219,291,129,921,921,129,291,291,LT0,-6.1,2:15:00 PM,4.383,12135
6/20/2023,Trend,291,291,291,291,129,921,291,291,129,912,192,192,GT0,3.5,2:15:00 PM,3.715,12024
6/21/2023,Trend,192,192,192,291,291,291,129,129,129,192,192,192,GT5,15.5,2:15:00 PM,4.752,11945
6/22/2023,Trend,192,192,912,192,192,192,291,291,291,129,129,291,LT0,-1.5,2:25:00 PM,5.157,15772
6/23/2023,Trend,219,192,192,192,921,291,129,129,129,921,192,192,GT0,5.1,2:25:00 PM,6.15,12226
6/26/2023,Trend,912,921,921,291,219,219,192,129,291,192,192,192,LT0,3.9,2:15:00 PM,6.288,12620
6/27/2023,Trend,192,192,192,291,291,219,192,291,291,921,192,192,GT0,2.2,2:00:00 PM,4.638,8018
6/28/2023,Trend,192,192,192,291,291,291,291,129,291,129,129,129,GT5,7.2,2:25:00 PM,6.21,14055
6/29/2023,Trend,192,921,291,291,219,219,921,921,921,192,921,921,LT10,-17.4,2:20:00 PM,5.693,12224
6/30/2023,Trend,291,291,291,192,921,921,129,129,192,921,912,192,GT0,2.3,2:25:00 PM,4.045,12091
7/3/2023,Trend,192,912,921,921,921,219,192,192,192,921,912,921,LT0,0.2,9:00:00 AM,3.555,7608
7/4/2023,Trend,921,129,192,192,192,192,912,192,192,192,192,192,GT10,5.5,2:15:00 PM,4.492,12536
7/5/2023,Trend,912,192,192,129,129,192,129,129,129,129,921,921,GT0,1,2:20:00 PM,5.753,11707
7/6/2023,Trend,291,219,129,192,921,921,291,291,291,291,291,291,LT5,-8,2:10:00 PM,6.211,11054
7/7/2023,Trend,291,129,912,921,921,192,192,192,192,192,192,192,GT5,9,2:05:00 PM,4.549,14597
7/10/2023,Trend,192,192,192,192,192,192,129,192,192,192,192,192,GT5,11.5,2:10:00 PM,6.855,9660
7/11/2023,Trend,192,192,192,192,192,192,129,129,129,921,921,921,GT0,1.5,2:05:00 PM,6.688,13153
7/12/2023,Trend,129,291,192,921,291,291,291,129,129,921,921,921,LT0,3.8,2:20:00 PM,5.227,10642
7/13/2023,Trend,192,192,192,129,291,291,921,921,192,129,129,129,LT0,13.2,9:00:00 AM,5.261,11743
7/14/2023,Trend,129,912,912,291,291,291,921,921,291,219,192,192,LT0,7.1,2:15:00 PM,7.841,12034
7/17/2023,Trend,192,192,192,192,921,921,291,129,921,921,912,192,GT0,-0.3,1:05:00 PM,6.384,17184
7/18/2023,Trend,291,291,291,192,192,921,192,291,291,291,129,129,GT0,3.2,2:20:00 PM,5.657,6809
7/19/2023,Trend,192,192,912,921,291,291,192,192,912,192,291,291,LT0,-0.9,2:20:00 PM,5.103,9223
7/20/2023,Trend,291,291,291,291,291,291,219,129,129,192,192,192,GT0,1,2:15:00 PM,6.091,11574
7/21/2023,Trend,912,192,192,192,912,912,192,192,192,192,192,192,GT10,20.8,2:20:00 PM,6.643,8823
7/24/2023,Trend,192,192,912,129,291,291,921,921,921,129,192,192,GT5,6.5,2:25:00 PM,6.492,9986
